2026-08-16 18:21:02 [INFO] Новое подключение: Устройство или оператор подключились к облаку!
2026-08-16 18:24:19 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:20 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:21 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:22 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:23 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:24 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:25 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:26 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:27 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:28 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:29 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:30 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:31 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:32 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:34 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:35 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:36 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:37 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:38 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:39 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:40 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:41 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:42 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:43 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:44 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:45 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:46 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:47 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:48 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:49 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:50 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
2026-08-16 18:24:51 [INFO] СТАНОК -> Телеметрия: Обороты 800 RPM, Мотор: True
